sigma_a,sigma_b,r,c0_a
1.9,0.4,0.674677973558331,1.2450157777828
2,0.4,0.68174282520982,1.24985885608615
0.1,0.5,0.187479052819812,0.704329567554557
0.2,0.5,0.286812029918572,0.818224218136013
0.3,0.5,0.366556437148882,0.89691769107746
0.4,0.5,0.43272316104861,0.955120377623838
0.5,0.5,0.488645855087348,1.00000000010618
0.6,0.5,0.536513132837394,1.03563686505004
0.7,0.5,0.577892222262669,1.06457547606008
0.8,0.5,0.613961059522435,1.08850142411072
0.9,0.5,0.645631282864745,1.10858083358991
1,0.5,0.673622230226233,1.12564759357839
1.1,0.5,0.698509539607415,1.1403139578382
1.2,0.5,0.720758989342243,1.15303935343652
1.3,0.5,0.740750992639755,1.16417495443836
1.4,0.5,0.758798799228537,1.17399351152749
1.5,0.5,0.775162274887482,1.18270985931571
1.6,0.5,0.79005847992545,1.19049533655705
1.7,0.5,0.803669881257447,1.1974881357038
1.8,0.5,0.816150787682882,1.20380084573985
1.9,0.5,0.827632434262267,1.20952604743777
2,0.5,0.838227029629098,1.214740513505
0.1,0.6,0.192540087534989,0.682802804911003
0.2,0.6,0.301133010688339,0.78848673465314
0.3,0.6,0.391666716673988,0.86347199302048
0.4,0.6,0.469193676604955,0.920046849106371
0.5,0.6,0.536513133339621,0.964363136489292
0.6,0.6,0.595491122278528,1.00000000073083
0.7,0.6,0.647504681286269,1.02923456020073
0.8,0.6,0.69362908553659,1.05360396787712
0.9,0.6,0.734731108262686,1.07419051206136
1,0.6,0.771522494765333,1.09178071720498
1.1,0.6,0.80459442321107,1.10696054678657
1.2,0.6,0.834441755457351,1.12017546658766
1.3,0.6,0.86148115910889,1.13176992761168
1.4,0.6,0.886065173676865,1.14201418304523
1.5,0.6,0.908493383456717,1.15112299406108
1.6,0.6,0.92902141599873,1.15926896820649
1.7,0.6,0.947868256120786,1.16659225619331
1.8,0.6,0.965222221227085,1.17320770881725
1.9,0.6,0.981245869253601,1.17921024281877
2,0.6,0.996080042228907,1.18467891116575
0.1,0.7,0.196443278821345,0.666586844252
0.2,0.7,0.312600058562723,0.765467751329556
0.3,0.7,0.412366533035663,0.837064670899027
0.4,0.7,0.500023874935143,0.891919959380633
0.5,0.7,0.577892222258633,0.935424523944957
0.6,0.7,0.647504681083581,0.9707654400745
0.7,0.7,0.710005044960496,1
0.8,0.7,0.766310082371572,1.02453643520813
0.9,0.7,0.817184685432988,1.04537968331842
1,0.7,0.863280890103259,1.06326947147655
